sample_index,filename,original_label,synthetic_label,anomaly_type,human_label,human_label_available,original_class_name,synthetic_class_name,human_class_name
0,bos_taurus_s_000507.png,19,22,random_flip,21,True,cattle,clock,chimpanzee
1,stegosaurus_s_000125.png,29,64,ood,23,True,dinosaur,possum,cloud
2,mcintosh_s_000643.png,0,21,random_flip,40,True,apple,chimpanzee,lamp
3,altar_boy_s_001435.png,11,11,clean,60,True,boy,boy,plain
4,cichlid_s_000031.png,1,1,clean_hard,6,True,aquarium_fish,aquarium_fish,bee
5,phone_s_002161.png,86,71,random_flip,15,True,telephone,sea,camel
6,car_train_s_000043.png,90,90,clean_hard,11,True,train,train,boy
7,beaker_s_000604.png,28,80,ood,44,True,cup,squirrel,lizard
8,fog_s_000397.png,23,23,clean,76,True,cloud,cloud,skyscraper
9,rogue_elephant_s_000421.png,31,9,gross,64,True,elephant,bottle,possum
10,computer_keyboard_s_000757.png,39,39,clean,57,True,keyboard,keyboard,pear
11,willow_tree_s_000645.png,96,96,clean,69,True,willow_tree,willow_tree,rocket
12,sunflower_s_000549.png,82,54,near_miss,1,True,sunflower,orchid,aquarium_fish
13,palace_s_000759.png,17,64,gross,26,True,castle,possum,crab
14,adriatic_s_001782.png,71,71,clean,30,True,sea,sea,dolphin
15,computer_keyboard_s_001277.png,39,39,clean,42,True,keyboard,keyboard,leopard
16,bike_s_000682.png,8,83,random_flip,51,True,bicycle,sweet_pepper,mushroom
17,wolf_pup_s_001323.png,97,88,near_miss,65,True,wolf,tiger,rabbit
18,squirrel_s_002467.png,80,62,random_flip,18,True,squirrel,poppy,caterpillar
19,sea_s_000678.png,71,1,random_flip,78,True,sea,aquarium_fish,snake
20,shrew_s_002233.png,74,22,gross,5,True,shrew,clock,bed
21,pine_tree_s_000087.png,59,59,clean_hard,24,True,pine_tree,pine_tree,cockroach
22,rose_s_000373.png,70,80,random_flip,55,True,rose,squirrel,otter
23,surveillance_system_s_000769.png,87,87,clean,96,True,television,television,willow_tree
24,pine_s_001533.png,59,33,gross,8,True,pine_tree,forest,bicycle
25,table_s_000897.png,84,84,clean,74,True,table,table,shrew
26,opossum_s_001237.png,64,64,clean,36,True,possum,possum,hamster
27,quercus_alba_s_000257.png,52,91,ood,92,True,oak_tree,trout,tulip
28,leopard_s_000414.png,42,42,clean_hard,1,True,leopard,leopard,aquarium_fish
29,possum_s_002195.png,64,64,clean_hard,9,True,possum,possum,bottle
30,bike_s_000127.png,8,9,random_flip,88,True,bicycle,bottle,tiger
31,balmoral_castle_s_000361.png,17,12,near_miss,84,True,castle,bridge,table
32,acer_saccharinum_s_000646.png,47,47,clean_hard,38,True,maple_tree,maple_tree,kangaroo
33,lapin_s_000916.png,65,53,random_flip,2,True,rabbit,orange,baby
34,chimp_s_001419.png,21,38,near_miss,66,True,chimpanzee,kangaroo,raccoon
35,clock_s_002291.png,22,34,gross,41,True,clock,fox,lawn_mower
36,streetcar_s_000663.png,81,81,clean,53,True,streetcar,streetcar,orange
37,male_child_s_000800.png,11,11,clean_hard,73,True,boy,boy,shark
38,oriental_cockroach_s_000650.png,24,24,clean,68,True,cockroach,cockroach,road
39,breakfast_table_s_001135.png,84,84,clean,66,True,table,table,raccoon
40,coluber_constrictor_s_000067.png,78,46,random_flip,95,True,snake,man,whale
41,lobster_s_000034.png,45,45,clean_hard,17,True,lobster,lobster,castle
42,mount_s_002852.png,49,67,random_flip,99,True,mountain,ray,worm
43,wolf_pup_s_001277.png,97,97,clean,26,True,wolf,wolf,crab
44,areca_s_000244.png,56,56,clean,69,True,palm_tree,palm_tree,rocket
45,skyscraper_s_000180.png,76,12,random_flip,57,True,skyscraper,bridge,pear
46,boy_s_001150.png,11,61,gross,13,True,boy,plate,bus
47,train_s_001640.png,90,90,clean_hard,6,True,train,train,bee
48,tractor_s_001723.png,89,81,near_miss,54,True,tractor,streetcar,orchid
49,snake_s_000046.png,78,32,random_flip,31,True,snake,flatfish,elephant
50,shortfin_mako_s_000172.png,73,73,clean,76,True,shark,shark,skyscraper
51,butterfly_s_001371.png,14,24,near_miss,8,True,butterfly,cockroach,bicycle
52,television_s_000158.png,87,32,random_flip,83,True,television,flatfish,sweet_pepper
53,beer_bottle_s_001063.png,9,9,clean,19,True,bottle,bottle,cattle
54,adriatic_s_002075.png,71,71,clean,98,True,sea,sea,woman
55,honeybee_s_001911.png,6,30,random_flip,58,True,bee,dolphin,pickup_truck
56,red_maple_s_000275.png,47,99,random_flip,30,True,maple_tree,worm,dolphin
57,reclining_chair_s_001157.png,20,20,clean,45,True,chair,chair,lobster
58,black_woman_s_001310.png,98,98,clean,22,True,woman,woman,clock
59,silver_maple_s_001664.png,47,47,clean,23,True,maple_tree,maple_tree,cloud
60,syrian_hamster_s_000340.png,36,36,clean,1,True,hamster,hamster,aquarium_fish
61,otter_s_000259.png,55,40,gross,21,True,otter,lamp,chimpanzee
62,seal_s_001773.png,72,85,random_flip,82,True,seal,tank,sunflower
63,panthera_leo_s_000068.png,43,43,clean,62,True,lion,lion,poppy
64,morchella_esculenta_s_000159.png,51,51,clean,44,True,mushroom,mushroom,lizard
65,female_child_s_000292.png,35,1,random_flip,29,True,girl,aquarium_fish,dinosaur
66,bell_pepper_s_001100.png,83,43,random_flip,17,True,sweet_pepper,lion,castle
67,forest_s_001702.png,33,11,random_flip,95,True,forest,boy,whale
68,crocodile_s_002505.png,27,0,random_flip,19,True,crocodile,apple,cattle
69,valencia_orange_s_000087.png,53,58,random_flip,4,True,orange,pickup_truck,beaver
70,tulip_s_000253.png,92,92,clean,87,True,tulip,tulip,television
71,mus_musculus_s_000005.png,50,50,clean,38,True,mouse,mouse,kangaroo
72,arabian_camel_s_000259.png,15,15,clean_hard,23,True,camel,camel,cloud
73,tractor_s_000104.png,89,31,random_flip,58,True,tractor,elephant,pickup_truck
74,hamster_s_001554.png,36,36,clean_hard,34,True,hamster,hamster,fox
75,caterpillar_s_001005.png,18,18,clean,30,True,caterpillar,caterpillar,dolphin
76,bulldozer_s_000433.png,89,89,clean,91,True,tractor,tractor,trout
77,man_s_000841.png,46,46,clean_hard,96,True,man,man,willow_tree
78,woods_s_000031.png,33,17,random_flip,92,True,forest,castle,tulip
79,leopard_s_000033.png,42,43,near_miss,71,True,leopard,lion,sea
80,keyboard_s_000092.png,39,39,clean_hard,27,True,keyboard,keyboard,crocodile
81,possum_s_000413.png,64,64,clean,13,True,possum,possum,bus
82,skunk_s_000825.png,75,75,clean_hard,6,True,skunk,skunk,bee
83,kangaroo_s_002457.png,38,15,near_miss,91,True,kangaroo,camel,trout
84,cirrocumulus_s_001397.png,23,9,gross,98,True,cloud,bottle,woman
85,panthera_pardus_s_000593.png,42,63,random_flip,20,True,leopard,porcupine,chair
86,raccoon_s_002740.png,66,66,clean_hard,0,True,raccoon,raccoon,apple
87,garden_snail_s_000513.png,77,77,clean,49,True,snail,snail,mountain
88,mount_s_000051.png,49,49,clean,91,True,mountain,mountain,trout
89,caterpillar_s_000450.png,18,18,clean_hard,19,True,caterpillar,caterpillar,cattle
90,man_s_000737.png,46,78,gross,22,True,man,snake,clock
91,camel_s_000876.png,15,15,clean,84,True,camel,camel,table
92,girl_s_001964.png,35,35,clean,62,True,girl,girl,poppy
93,minuteman_s_000073.png,69,89,near_miss,36,True,rocket,tractor,hamster
94,fin_whale_s_000110.png,95,30,near_miss,72,True,whale,dolphin,seal
95,sweet_pepper_s_000921.png,83,83,clean,3,True,sweet_pepper,sweet_pepper,bear
96,manual-skunk007.png,75,75,clean,52,True,skunk,skunk,oak_tree
97,nematode_s_000034.png,99,99,clean,86,True,worm,worm,telephone
98,shark_s_002026.png,73,3,gross,49,True,shark,bear,mountain
99,marine_turtle_s_000339.png,93,93,clean_hard,32,True,turtle,turtle,flatfish
100,river_otter_s_000028.png,55,9,random_flip,90,True,otter,bottle,train
101,computer_keyboard_s_000598.png,39,39,clean,51,True,keyboard,keyboard,mushroom
